Zip_Code,Year,1,2,3,4,5,6,7,8,9,10,11,12
580201-ปัตตานี จ.ปัตตานี,1982,2,5.4,3.2,158.1,132.2,117.8,124.6,94.9,111.4,123.4,267.1,276.2
580201-ปัตตานี จ.ปัตตานี,1983,19,0.9,0.7,T,94.2,166.3,122.9,137.6,94.6,184.6,402,507.9
580201-ปัตตานี จ.ปัตตานี,1984,68.4,106,48.3,71.7,205.6,87,191.7,51.6,70.8,176.5,205.5,460.5
580201-ปัตตานี จ.ปัตตานี,1985,2.4,8.5,134.7,124.2,209,51.4,178.3,219.8,149,155.7,407.8,378.7
580201-ปัตตานี จ.ปัตตานี,1986,106.7,0.3,4.4,68.4,130.2,51.6,98,28.7,177.9,331.9,646,133.4
580201-ปัตตานี จ.ปัตตานี,1987,12.9,0,55.5,14.2,133.9,50.7,117,88.6,163.6,121.3,195.9,748.2
580201-ปัตตานี จ.ปัตตานี,1988,10.7,58.8,1.3,83.2,139.7,113.5,237,258,159.5,139,759.1,120
580201-ปัตตานี จ.ปัตตานี,1989,7.6,16.4,11.3,66.6,193.9,73.1,129,78.7,182.9,205.5,301,17.5
580201-ปัตตานี จ.ปัตตานี,1990,70.7,3.2,29.8,68,148.2,34.5,176.8,101,169,250.4,194.6,185.2
580201-ปัตตานี จ.ปัตตานี,1991,32.9,T,56.8,32.2,212.7,132.4,132.6,135.7,109.3,118.1,332.3,272.6
580201-ปัตตานี จ.ปัตตานี,1992,12.7,7.9,11,21.4,64.6,105.5,128.3,106.4,145.3,221.3,385.7,234.5
580201-ปัตตานี จ.ปัตตานี,1993,23.3,3.8,94.3,66.4,110.4,93.8,35.5,267.7,147.2,173.8,403,424.8
580201-ปัตตานี จ.ปัตตานี,1994,5.9,30.9,196.6,44.3,184,128.8,73.1,108,129.8,248.7,542.4,21.8
580201-ปัตตานี จ.ปัตตานี,1995,33,24,3.8,9.4,63.2,247.3,169.9,231.1,193.5,182.6,460.5,478.9
580201-ปัตตานี จ.ปัตตานี,1996,18,0.1,4.1,104.9,86.8,86,74.6,256.8,124,155.7,230.7,1036
580201-ปัตตานี จ.ปัตตานี,1997,1.7,132.4,35.6,84.4,44.3,91.4,191.4,177.8,110.3,172.5,170.9,567.7
580201-ปัตตานี จ.ปัตตานี,1998,40.5,0,1,1,14.8,191.3,121.2,193.9,233.6,278.7,461.5,493.1
580201-ปัตตานี จ.ปัตตานี,1999,80.3,278.9,29.5,239.7,117.6,55.5,52.4,130.7,170.6,233.4,444.4,693.8
580201-ปัตตานี จ.ปัตตานี,2000,37.8,24.4,134.3,147.6,142.2,155.1,75.9,173,163.8,208.7,894.6,410.9
580201-ปัตตานี จ.ปัตตานี,2001,298.3,38.7,173.4,88.4,65.6,46.2,220.4,70.1,101.1,306.3,290.1,462.9
580201-ปัตตานี จ.ปัตตานี,2002,16.7,0.5,10.7,91.4,131.1,54,83.1,74.1,58.9,264.4,499.7,243.6
580201-ปัตตานี จ.ปัตตานี,2003,29.2,38.1,75.8,71.4,103.7,67.5,121.6,134.9,134.1,481.7,360.2,266.8
580201-ปัตตานี จ.ปัตตานี,2004,4.9,15.5,12.1,71.2,170.9,118.7,57.7,150.2,183.6,219,148.7,128.6
580201-ปัตตานี จ.ปัตตานี,2005,22.1,T,23.1,5.3,344.4,136.7,110.7,130.4,149.2,234.8,302.7,967.2
580201-ปัตตานี จ.ปัตตานี,2006,114.9,108.4,88.3,45.9,140.2,153.3,113.3,111.6,231.9,199.2,130.1,141.9
580201-ปัตตานี จ.ปัตตานี,2007,179.8,0,78.1,166.9,170.5,109.2,222.9,98.1,130.8,316.1,139.6,229.2
580201-ปัตตานี จ.ปัตตานี,2008,95.9,30.1,31.2,32.3,104.5,281.8,200.1,77.3,102.3,201.3,818,626.1
580201-ปัตตานี จ.ปัตตานี,2009,140,4.8,106.6,106,169.3,11,98.4,116,116.8,73.7,541.4,78.7
580201-ปัตตานี จ.ปัตตานี,2010,39.4,8.8,27,22.1,22.9,100.9,106.9,172.6,104.8,365.7,627.2,495.9
580201-ปัตตานี จ.ปัตตานี,2011,144.5,4.5,213.1,110.4,182.7,161.2,143.6,144.5,79.8,246.1,517.5,501
580201-ปัตตานี จ.ปัตตานี,2012,311.7,3.9,95.1,270.9,106.6,70.1,59.6,61.8,149.4,127,92.8,387
580201-ปัตตานี จ.ปัตตานี,2013,60.3,171.5,14.6,114.7,87.3,58.7,131.8,67.6,151,225.3,351.7,183.6
580201-ปัตตานี จ.ปัตตานี,2014,16.4,-,13.4,12.4,143.4,95,78.8,359.5,156,259.4,414.5,465.1
580201-ปัตตานี จ.ปัตตานี,2015,10.2,0.2,0.6,50.9,77.5,54.2,92.3,231.8,103.5,147.6,341.6,79.3
580201-ปัตตานี จ.ปัตตานี,2016,63,13.8,-,-,206.9,121.1,162.4,56.8,42.9,249,224.5,641
580201-ปัตตานี จ.ปัตตานี,2017,597.9,21.5,49.7,278.2,126.8,135.4,179.9,125.6,200.1,94,981.2,303.5
580201-ปัตตานี จ.ปัตตานี,2018,147.1,63.2,38.6,81.4,220.2,93.4,193.7,7.5,163.9,309.1,281.8,393.5
580201-ปัตตานี จ.ปัตตานี,2019,246.9,27.2,-,39.6,140.9,99.9,151,105.3,171.6,179.6,227.1,74.9
580201-ปัตตานี จ.ปัตตานี,2020,0.2,32.3,3.9,85.8,213.8,305.9,243.3,315.1,164.1,159.7,353.5,480.2
580201-ปัตตานี จ.ปัตตานี,2021,127.6,6.4,69.6,50.6,203.2,69.2,139.1,140.2,161.9,139.9,301.8,194
580201-ปัตตานี จ.ปัตตานี,2022,1.1,370,99.7,80.1,222.3,76.9,185.6,198,116.1,413.5,280.5,843.1
