Zip_Code,Year,1,2,3,4,5,6,7,8,9,10,11,12
581301-ยะลา สกษ. จ.ยะลา,2006,1.1,1.4,1.1,0.6,0.7,1,0.8,1.1,0.9,0.6,0.4,0.7
581301-ยะลา สกษ. จ.ยะลา,2007,1.1,1,0.8,0.9,0.7,0.8,0.7,1.1,1.4,0.6,0.6,0.8
581301-ยะลา สกษ. จ.ยะลา,2008,1,1.5,1.5,0.6,1.2,1.1,1.4,1.2,1.5,1.8,2.1,2.7
581301-ยะลา สกษ. จ.ยะลา,2009,4.8,6.2,5,5.6,4.1,2.7,3.2,3.7,2.5,2.6,1.5,1.5
581301-ยะลา สกษ. จ.ยะลา,2010,1.8,2.3,1.6,1.3,1,1.5,1.2,0.8,0.9,0.8,0.3,2.3
581301-ยะลา สกษ. จ.ยะลา,2011,2.4,2.3,2.5,2.2,2.5,2.3,2.5,3.4,2.6,2.1,2.1,2.3
581301-ยะลา สกษ. จ.ยะลา,2012,2,2.1,2.2,2.6,3.1,3,2.9,3.1,2.8,2.1,1.8,2.1
581301-ยะลา สกษ. จ.ยะลา,2013,2.4,2.5,2.1,2.5,1.3,2.9,2.5,3.1,2.3,2.4,1.8,1.4
581301-ยะลา สกษ. จ.ยะลา,2014,2.8,2.7,2.4,2.2,2.7,1.3,1.2,1.6,2,2.4,1.8,1.4
581301-ยะลา สกษ. จ.ยะลา,2015,2.2,3.1,2.4,2.1,1.7,2.5,2.6,2.3,2.7,1.5,1.4,1.7
581301-ยะลา สกษ. จ.ยะลา,2016,2.2,3.1,2.4,2.2,2.6,2.2,2.1,3.4,3.2,2.8,1.7,1.6
581301-ยะลา สกษ. จ.ยะลา,2017,1.7,0.3,0.5,2,1.9,2.1,2.2,2.6,2.2,2.1,1.4,1.3
581301-ยะลา สกษ. จ.ยะลา,2018,1.7,2.5,1.8,1.9,0.5,1.2,2,1.7,0.7,0.5,0.5,0.5
581301-ยะลา สกษ. จ.ยะลา,2019,0,0.9,2.1,1.7,2.4,1.8,2,2.1,1.8,1.6,1.6,2.2
581301-ยะลา สกษ. จ.ยะลา,2020,1.1,2.1,2.1,1.7,1.9,0.9,0.9,1.6,1.5,2,1.3,1.5
581301-ยะลา สกษ. จ.ยะลา,2021,2.7,2.2,2.1,1.8,1.3,1.8,1.6,2.1,1.9,1.5,1.2,1.5
581301-ยะลา สกษ. จ.ยะลา,2022,2.6,2.3,2,1.3,1.6,1.6,1.7,1.7,2.2,1.6,1.2,0.9
