Zip_Code,Year,1,2,3,4,5,6,7,8,9,10,11,12
583201-นราธิวาส จ.นราธิวาส,1982,9.7,17.5,6.7,45.4,161.1,186.4,140.4,110.3,87.4,173.3,287.4,550.1
583201-นราธิวาส จ.นราธิวาส,1983,81,8.1,217.3,0,15.7,136.2,169.7,198.7,214.7,250.4,272.8,890.5
583201-นราธิวาส จ.นราธิวาส,1984,142.9,93.8,173.6,129.2,155.8,128.5,180.8,139.3,128.5,197.3,341.7,870.2
583201-นราธิวาส จ.นราธิวาส,1985,17.1,51.5,292,112,262.4,38.2,180.3,248,127.5,248.6,383.1,432.1
583201-นราธิวาส จ.นราธิวาส,1986,69.2,T,21,11.9,134.1,86.3,50.6,73.6,215.9,270.4,1099,182.7
583201-นราธิวาส จ.นราธิวาส,1987,19.2,13.3,45.7,6,118.7,112.9,33.6,156.6,162.1,201.3,200.1,890
583201-นราธิวาส จ.นราธิวาส,1988,36.4,86,36.1,54.3,405.6,99.3,188.4,104.6,176.7,169.4,976.1,255.7
583201-นราธิวาส จ.นราธิวาส,1989,28.3,36.8,15.3,96.3,188.4,21.4,223.9,141,152.3,249.2,331.3,154.1
583201-นราธิวาส จ.นราธิวาส,1990,37.9,7.1,5,189.6,66.1,55.8,157.7,44.9,192.6,162.4,166.9,148
583201-นราธิวาส จ.นราธิวาส,1991,140.1,8.2,27.9,54.6,186.9,145.8,61.2,148.9,161.6,252.8,368.2,477.4
583201-นราธิวาส จ.นราธิวาส,1992,35.1,22.5,7.7,52.6,145.4,97.6,93.7,88.2,158,182.2,528.1,442.5
583201-นราธิวาส จ.นราธิวาส,1993,165.5,11.5,236.2,118.7,57.4,186.7,71,65.2,244.2,621.9,524.6,563.9
583201-นราธิวาส จ.นราธิวาส,1994,15.1,8.4,444.2,40.6,201.8,336.8,121.9,230.6,220,396.1,1059.5,167.9
583201-นราธิวาส จ.นราธิวาส,1995,65.5,33.8,10,31.5,67.1,61.8,192.5,357.8,179.9,210.4,946.4,457.1
583201-นราธิวาส จ.นราธิวาส,1996,93.7,26.9,19.9,73.3,115.8,77.4,86,277.2,58.9,210.8,377.3,1112.6
583201-นราธิวาส จ.นราธิวาส,1997,8.1,79.5,43.4,56.6,38.4,162.9,80.8,213.7,295.5,153,537.4,798.8
