Zip_Code,Year,1,2,3,4,5,6,7,8,9,10,11,12
580201-ปัตตานี จ.ปัตตานี,1982,SE,E,E,SE,W,W,W,W,W,W,E,E
580201-ปัตตานี จ.ปัตตานี,1983,SE,E,E,NE,W,SW,"S,W",W,W,W,N,E
580201-ปัตตานี จ.ปัตตานี,1984,E,E,E,SW,"SW,W",SW,SW,SW,W,"N,SW",E,E
580201-ปัตตานี จ.ปัตตานี,1985,E,E,E,SW,W,SW,"SW,W",SW,SW,SW,E,E
580201-ปัตตานี จ.ปัตตานี,1986,E,E,E,NE,SW,SW,SW,SW,SW,SW,SW,E
580201-ปัตตานี จ.ปัตตานี,1987,E,E,E,E,N,SW,SW,SW,SW,N,SW,NE
580201-ปัตตานี จ.ปัตตานี,1988,E,E,E,E,SW,SW,SW,SW,SW,SW,"NE,E",E
580201-ปัตตานี จ.ปัตตานี,1989,E,E,E,N,W,W,W,W,W,W,E,E
580201-ปัตตานี จ.ปัตตานี,1990,E,E,E,E,W,W,W,W,W,W,W,E
580201-ปัตตานี จ.ปัตตานี,1991,E,E,E,NE,NE,W,W,W,W,N,E,E
580201-ปัตตานี จ.ปัตตานี,1992,E,E,NE,NE,SW,W,SW,W,W,W,E,E
580201-ปัตตานี จ.ปัตตานี,1993,E,E,E,NE,NE,SW,W,W,SW,SW,NE,NE
580201-ปัตตานี จ.ปัตตานี,1994,E,E,E,N,SW,W,W,W,W,N,E,E
580201-ปัตตานี จ.ปัตตานี,1995,E,E,E,NE,N,SW,SW,W,SW,W,SE,"NE,E"
580201-ปัตตานี จ.ปัตตานี,1996,E,E,E,N,W,SW,SW,SW,SW,SW,SW,NW
580201-ปัตตานี จ.ปัตตานี,1997,"NE,E",E,NE,"NE,E",SW,SW,SW,SW,SW,SW,E,E
580201-ปัตตานี จ.ปัตตานี,1998,NE,NE,NE,N,N,W,SW,SW,W,W,Calm,E
580201-ปัตตานี จ.ปัตตานี,1999,E,E,N,W,W,W,SW,W,W,W,W,E
580201-ปัตตานี จ.ปัตตานี,2000,E,E,NE,N,W,W,W,W,W,W,NE,E
580201-ปัตตานี จ.ปัตตานี,2001,E,E,E,NE,W,W,W,W,SW,W,E,E
580201-ปัตตานี จ.ปัตตานี,2002,E,E,E,"NE,SE",W,W,W,W,W,W,N,E
580201-ปัตตานี จ.ปัตตานี,2003,E,E,E,N,W,SW,SW,SW,W,SW,NE,E
580201-ปัตตานี จ.ปัตตานี,2004,E,E,E,N,NW,W,W,W,N,N,E,E
580201-ปัตตานี จ.ปัตตานี,2005,E,E,SE,N,W,W,W,W,"SW,W","N,NW","N,N",N
580201-ปัตตานี จ.ปัตตานี,2006,E,E,N,N,Vary,Vary,W,SW,SW,SW,SE,E
580201-ปัตตานี จ.ปัตตานี,2007,E,E,Vary,E,SW,SW,SW,SW,SW,"N,W",N,E
580201-ปัตตานี จ.ปัตตานี,2008,E,E,NE,NE,"SW,W",SW,"SW,SW","NE,SW","SW,W","N,SW",NE,"E,E"
580201-ปัตตานี จ.ปัตตานี,2009,E,E,Vary,"N,W",SW,W,SW,W,W,SW,E,E
580201-ปัตตานี จ.ปัตตานี,2010,E,E,NE,N,"N,N",SW,"SW,SW",SW,SW,N,N,Vary
580201-ปัตตานี จ.ปัตตานี,2011,"E,E",E,Vary,"NE,E",NW,W,"SW,W",W,W,"NE,W","NE,NE",Vary
580201-ปัตตานี จ.ปัตตานี,2012,"E,E",NE,"N,NE","SW,NW",SW,SW,SW,W,"SW,SW","NE,NW",NW,NE
580201-ปัตตานี จ.ปัตตานี,2013,NE,E,"N,NE",N,SW,SW,SW,SW,SW,W,N,"N,NE"
580201-ปัตตานี จ.ปัตตานี,2014,E,E,E,N,N,SW,Vary,SW,W,N,NE,E
580201-ปัตตานี จ.ปัตตานี,2015,E,E,N,N,N,SW,SW,W,"SW,W","N,W","N,E",E
580201-ปัตตานี จ.ปัตตานี,2016,E,E,E,N,N,"SW,SW",S,SW,W,W,NE,"NE,NE"
580201-ปัตตานี จ.ปัตตานี,2017,"NE,E","NE,E",E,NE,SW,W,SW,SW,"NE,SW","NE,SW","NE,W",NE
580201-ปัตตานี จ.ปัตตานี,2018,"NE,NE","E,SE",NE,"NE,NE",NE,Vary,SW,SW,SW,NE,NE,Vary
580201-ปัตตานี จ.ปัตตานี,2019,Calm,Calm,Calm,Calm,Calm,Calm,W,SW,SW,NE,NE,E
580201-ปัตตานี จ.ปัตตานี,2020,"E,E",E,NE,NE,NE,"SW,SW",SW,SW,SW,W,"NE,NE",Vary
580201-ปัตตานี จ.ปัตตานี,2021,NE,NE,NE,SW,NE,SW,SW,"SW,SW",SW,NE,NE,NE
580201-ปัตตานี จ.ปัตตานี,2022,Vary,E,"NE,NE",NE,SW,SW,SW,SW,SW,SW,NE,NE
