Zip_Code,Year,1,2,3,4,5,6,7,8,9,10,11,12
583201-นราธิวาส จ.นราธิวาส,1982,2.3,2.8,2.7,2.5,2.3,1.5,1.6,1.5,1.8,1.9,1.7,4.6
583201-นราธิวาส จ.นราธิวาส,1983,4.2,3.2,3,2.6,2.5,2.4,1.8,1.4,1.9,1.2,2,4.1
583201-นราธิวาส จ.นราธิวาส,1984,2.9,3.8,2.3,1.5,1.5,1.1,1.4,1.2,1.5,2,1.5,2.4
583201-นราธิวาส จ.นราธิวาส,1985,3,2.3,2.9,1.9,1.6,1.4,1.7,1.4,1.7,1.7,1.7,2.1
583201-นราธิวาส จ.นราธิวาส,1986,2.5,2.3,3.4,2.2,2,1.6,1.8,1.5,1.5,1.8,2,4.1
583201-นราธิวาส จ.นราธิวาส,1987,3.9,3,3.4,2.3,2.2,2.1,2.6,2.3,2.3,2.4,2.4,3.1
583201-นราธิวาส จ.นราธิวาส,1988,2.9,2.4,2.7,2.6,2.1,2.4,2.7,3.2,3.1,2.7,2.8,3.2
583201-นราธิวาส จ.นราธิวาส,1989,4.4,2.5,3,3,2.6,2.2,2,1.9,1.7,2.2,3.6,4.7
583201-นราธิวาส จ.นราธิวาส,1990,4.3,5.4,3.9,3.1,2.6,2.9,2.8,2.8,2.9,2.9,4.2,6.3
583201-นราธิวาส จ.นราธิวาส,1991,3.6,4.1,3.2,3,2.2,2,2.3,2.1,1.9,2,3.5,4.1
583201-นราธิวาส จ.นราธิวาส,1992,3.8,2.2,1.8,1.6,1.6,1.4,1.2,1.4,1.7,1.7,2.8,3.2
583201-นราธิวาส จ.นราธิวาส,1993,2.5,2.4,2.2,1.3,1.5,1,1.2,1,1.4,1.2,1.1,3.3
583201-นราธิวาส จ.นราธิวาส,1994,2.1,2.1,1.8,1.3,0.9,1.2,0.9,1.1,1.4,1.4,2.3,1.9
583201-นราธิวาส จ.นราธิวาส,1995,2.9,2,1.3,1.3,1.6,1.3,1.1,1.2,0.8,1.2,0.8,2.5
583201-นราธิวาส จ.นราธิวาส,1996,1.8,3.5,2.2,1.6,1.1,1,0.7,1.1,1.4,1,0.6,0.9
583201-นราธิวาส จ.นราธิวาส,1997,2,1.5,2.1,1.6,1.2,1.2,0.9,1.1,0.8,0.9,0.8,2.4
583201-นราธิวาส จ.นราธิวาส,1998,2.9,1.8,2,1.7,1.2,1.3,1.2,1,1.1,1,0.9,2
583201-นราธิวาส จ.นราธิวาส,1999,2.9,2,1.6,1.6,1.4,1.3,1.5,1.4,1.7,1.8,1.1,2.6
583201-นราธิวาส จ.นราธิวาส,2000,4.8,2.2,1.4,1.8,1.5,1.3,1,1,0.7,1.1,0.7,1
583201-นราธิวาส จ.นราธิวาส,2001,1.4,1.2,1,0.8,0.9,1.2,1.3,1.2,1.3,1,0.8,2.4
583201-นราธิวาส จ.นราธิวาส,2002,2.9,1.8,1.6,1.2,1,0.6,0.7,0.8,1.3,1,0.5,1.3
583201-นราธิวาส จ.นราธิวาส,2003,1.6,2.1,1.4,1.4,0.8,1.1,0.8,1.2,1.1,0.7,-,-
583201-นราธิวาส จ.นราธิวาส,2004,2.1,1.7,2,1.9,1.9,1.9,1.5,1.2,1.4,1.2,1,1.9
583201-นราธิวาส จ.นราธิวาส,2005,1.9,1.7,2,1.4,0.9,0.8,0.8,1,1.1,0.7,1.3,1.8
