zip_code,year,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Jan_temperature,Feb_temperature,Mar_temperature,Apr_temperature,May_temperature,Jun_temperature,Jul_temperature,Aug_temperature,Sep_temperature,Oct_temperature,Nov_temperature,Dec_temperature,Jan_wind_direction,Feb_wind_direction,Mar_wind_direction,Apr_wind_direction,May_wind_direction,Jun_wind_direction,Jul_wind_direction,Aug_wind_direction,Sep_wind_direction,Oct_wind_direction,Nov_wind_direction,Dec_wind_direction,Jan_windspeed,Feb_windspeed,Mar_windspeed,Apr_windspeed,May_windspeed,Jun_windspeed,Jul_windspeed,Aug_windspeed,Sep_windspeed,Oct_windspeed,Nov_windspeed,Dec_windspeed
300201,1982,0.0010086859064163,-999.0,-999.0,0.0496567140348076,0.1682701558591495,0.1228930917148057,0.0523915831472949,0.1333686004819843,0.1068483140202526,0.0643433778275117,0.014203852718849,0.0,0.5129533678756477,0.493421052631579,0.6000000000000002,0.6823529411764705,0.7,0.654320987654321,0.6506849315068493,0.0256976510740815,0.6830985915492958,0.6158536585365852,0.595890410958904,0.4540540540540541,37.0,34.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,37.0,2.0,2.0,0.010204081632653,0.0423728813559322,0.0465116279069767,0.1472868217054263,0.1249999999999999,0.0492957746478873,0.0559440559440559,0.0573770491803278,0.0388349514563106,0.0208333333333333,0.0165289256198347,0.0137931034482758
300201,1983,0.0,-999.0,-999.0,0.0486987066900846,0.038964787377333,0.1313602912083564,0.0515840972782976,0.1584082760242167,0.1183317674078713,0.1251698505315323,0.0448671055840039,0.005712387910993,0.4300518134715026,0.493421052631579,0.6193548387096774,0.7647058823529411,0.8187500000000001,0.6913580246913581,0.7397260273972602,0.029913671953423,0.7605633802816902,0.646341463414634,0.5068493150684933,0.5027027027027027,2.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,11.0,11.0,2.0,0.0306122448979591,0.059322033898305,0.1007751937984496,0.0930232558139534,0.1785714285714285,0.0915492957746478,0.1118881118881118,0.0737704918032786,0.0679611650485436,0.0520833333333333,0.0413223140495867,0.0206896551724137
300201,1984,-999.0,0.0152374777111363,-999.0,0.3139070732875619,0.1198768520300173,0.2281395900925852,0.1185104260675438,0.1685769705519308,0.072136966280405,0.0776117017025018,0.0002438429651304,0.0,0.528497409326425,0.6315789473684211,0.6193548387096774,0.7352941176470589,0.6937500000000001,0.6728395061728395,0.6438356164383563,0.0277052800642441,-999.0,0.6158536585365852,0.6164383561643835,0.5837837837837837,2.0,37.0,41.0,35.0,32.0,41.0,41.0,41.0,41.0,41.0,37.0,34.0,0.0306122448979591,0.059322033898305,0.0930232558139534,0.1240310077519379,0.0714285714285714,0.0633802816901408,0.0769230769230769,0.0491803278688524,0.0388349514563106,0.0104166666666666,0.0165289256198347,0.0206896551724137
300201,1985,-999.0,-999.0,-999.0,0.2077279259140987,0.1493169136040023,0.1238426841813721,0.0862584904764166,0.1674601775113149,0.093433552562898,0.1009511629765806,0.0685808339429407,0.0,-999.0,-999.0,-999.0,0.7647058823529411,0.675,0.6728395061728395,0.6438356164383563,0.026902228468179,0.7464788732394367,0.6402439024390244,0.5821917808219178,0.5675675675675674,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,32.0,37.0,37.0,0.0306122448979591,0.059322033898305,0.0542635658914728,0.1317829457364341,0.0982142857142857,0.056338028169014,0.0489510489510489,0.040983606557377,0.0388349514563106,0.0208333333333333,0.0082644628099173,0.0137931034482758
300201,1986,-999.0,-999.0,0.0004534853589012,0.1049018042471659,0.1870309794111988,0.1516973965339874,0.0890609414335249,0.1439487450772938,0.0759995824198768,0.0558708336663735,0.0126798341867837,0.0775157754898704,0.5595854922279793,0.519736842105263,0.5548387096774193,0.7294117647058823,0.65625,0.6790123456790123,0.6438356164383563,0.0285083316603091,0.7323943661971832,0.6402439024390244,0.6232876712328768,0.5945945945945945,32.0,37.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,32.0,37.0,0.0204081632653061,0.059322033898305,0.0620155038759689,0.1007751937984496,0.1160714285714285,0.0915492957746478,0.0629370629370629,0.081967213114754,0.0388349514563106,0.03125,0.0330578512396694,0.0275862068965517
300201,1987,0.0079574110395068,-999.0,0.0130862917854366,0.1347596998243653,0.0645564748893592,0.0783413784917306,0.0991307652116088,0.1301945571033915,0.0814803215366948,0.0478778674766205,0.0706534991465496,0.0,0.5854922279792747,0.4671052631578948,0.5032258064516131,0.6764705882352942,0.7625,0.7592592592592592,0.6917808219178082,0.0291106203573579,0.7605633802816902,0.701219512195122,0.7191780821917807,0.4864864864864864,37.0,37.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,32.0,34.0,37.0,0.0204081632653061,0.0423728813559322,0.0620155038759689,0.1085271317829457,0.0982142857142857,0.0845070422535211,0.0769230769230769,0.0491803278688524,0.0388349514563106,0.0520833333333333,0.0082644628099173,0.0206896551724137
300201,1988,-999.0,-999.0,-999.0,0.0407153121507264,0.2113719453530883,0.2541742502176149,0.1241153279817603,0.0797625345324163,0.0365382607787869,0.1560227000239789,0.0446232626188734,0.0,0.5492227979274612,0.5723684210526315,0.6193548387096774,0.7411764705882352,0.71875,0.6728395061728395,0.684931506849315,0.0285083316603091,0.7746478873239437,0.6402439024390244,0.4794520547945205,0.5459459459459459,37.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,19.0,44.0,19.0,0.0306122448979591,0.0508474576271186,0.0852713178294573,0.1162790697674418,0.1339285714285714,0.0492957746478873,0.0559440559440559,0.040983606557377,0.0388349514563106,0.0208333333333333,0.0,0.0068965517241379
300201,1989,0.0022975623423928,-999.0,0.0,0.0190004790036723,0.13738695401193,0.1346047321357917,0.1139030066973828,0.0862869570328572,0.0620106482931412,0.1558628407001838,0.0101804437941965,0.0,0.544041450777202,0.4342105263157896,0.6258064516129033,0.776470588235294,0.75,0.7222222222222223,0.6986301369863015,0.0293113832563742,0.7676056338028171,0.6402439024390244,0.595890410958904,0.4486486486486486,7.0,-999.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,19.0,37.0,0.0204081632653061,0.0338983050847457,0.0620155038759689,0.1317829457364341,0.1071428571428571,0.0352112676056338,0.0279720279720279,0.0245901639344262,0.0194174757281553,0.0208333333333333,0.0082644628099173,0.0068965517241379
300201,1990,-999.0,0.0226941157399902,0.0020730759264058,0.0190004790036723,0.3680969790263614,0.1768615968979979,0.1081081081081081,0.0982777875742079,0.063733166301284,0.0483574454480057,0.0168251645940014,0.0,0.5129533678756477,0.4407894736842105,0.5419354838709678,0.6882352941176471,0.5687500000000001,0.6913580246913581,0.6095890410958905,0.0289098574583416,0.7746478873239437,0.6585365853658536,0.6232876712328768,0.5405405405405405,45.0,39.0,41.0,41.0,32.0,41.0,41.0,41.0,32.0,37.0,37.0,37.0,0.0204081632653061,0.0254237288135593,0.0620155038759689,0.1395348837209302,0.0535714285714285,0.0422535211267605,0.0349650349650349,0.0655737704918032,0.0485436893203883,0.0520833333333333,0.0413223140495867,0.0482758620689655
300201,1991,0.0019052956010086,-999.0,-999.0,0.1064984831550375,0.1253607850683086,0.2294848460868877,0.0593739609556832,0.1579968259566214,0.1419772418832863,0.0710574694269043,0.1146061936113143,0.0205247426104284,0.533678756476684,0.5460526315789475,0.735483870967742,0.7941176470588235,0.75,0.7098765432098764,0.678082191780822,0.0281068058622766,0.7605633802816902,0.6524390243902439,0.5821917808219178,0.5405405405405405,41.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,34.0,11.0,37.0,0.0510204081632653,0.0508474576271186,0.0852713178294573,0.0852713178294573,0.0982142857142857,0.0774647887323943,0.0349650349650349,0.040983606557377,0.029126213592233,0.03125,0.0082644628099173,0.0206896551724137
