ZipCode,Precision,Recall,F1_Score,Accuracy
300202,0.5263665284874193,0.4634146341463415,0.4922764227642277,0.4634146341463415
303201,0.32926829268292684,0.24390243902439024,0.25140712945591,0.24390243902439024
303301,0.5430894308943089,0.3902439024390244,0.4461732548359966,0.3902439024390244
310201,0.4210220673635307,0.21951219512195122,0.25712710760430807,0.21951219512195122
327202,0.6554621848739496,0.35294117647058826,0.3986928104575163,0.35294117647058826
327301,0.5940379403794037,0.5365853658536586,0.5494644823329218,0.5365853658536586
327501,0.5072677999507267,0.3170731707317073,0.3519491348759642,0.3170731707317073
328201,0.4141906873614191,0.3902439024390244,0.38491162239557625,0.3902439024390244
328202,0.6507936507936508,0.47368421052631576,0.5218208564890487,0.47368421052631576
328301,0.7582864290181364,0.36585365853658536,0.32543554006968645,0.36585365853658536
329201,0.37166979362101316,0.24390243902439024,0.26350799393161395,0.24390243902439024
330201,0.3905395417590539,0.2682926829268293,0.30427546628407465,0.2682926829268293
331201,0.5671699574138598,0.43902439024390244,0.49310710498409327,0.43902439024390244
331301,0.5882352941176471,0.3170731707317073,0.3634496440658187,0.3170731707317073
331401,0.3844789356984479,0.3170731707317073,0.32262081904638673,0.3170731707317073
331402,0.6701940035273368,0.5555555555555556,0.5908289241622575,0.5555555555555556
351201,0.5114133833646028,0.3902439024390244,0.40726205758298184,0.3902439024390244
352201,0.6802689180737962,0.3170731707317073,0.40640531911391986,0.3170731707317073
353201,0.5550813008130081,0.3902439024390244,0.4454573024926806,0.3902439024390244
353301,0.5400696864111498,0.21951219512195122,0.2526237989652624,0.21951219512195122
354201,0.6085946573751451,0.43902439024390244,0.4873276776246024,0.43902439024390244
356201,0.6276901004304161,0.4146341463414634,0.4492939666238767,0.4146341463414634
356301,0.7181429182712881,0.43902439024390244,0.509621119377217,0.43902439024390244
357201,0.4217747111681643,0.2926829268292683,0.33183195943457694,0.2926829268292683
357301,0.5606707317073171,0.36585365853658536,0.40794241295196243,0.36585365853658536
360201,0.875,0.625,0.7250000000000001,0.625
363201,1.0,0.3333333333333333,0.5,0.3333333333333333
373201,0.35177865612648224,0.21739130434782608,0.2391304347826087,0.21739130434782608
373301,0.45087108013937277,0.36585365853658536,0.4034994697773064,0.36585365853658536
376201,0.479834210106807,0.3170731707317073,0.3678071105653848,0.3170731707317073
376202,0.48644986449864497,0.34146341463414637,0.40104564847468493,0.34146341463414637
376203,0.7682926829268293,0.43902439024390244,0.5231802485248933,0.43902439024390244
376301,0.5730744949494949,0.4375,0.4678558906030855,0.4375
376401,0.6150406504065041,0.4146341463414634,0.44313615549948604,0.4146341463414634
378201,0.5473638827297364,0.36585365853658536,0.4043770599868161,0.36585365853658536
379201,0.47051775780915706,0.34146341463414637,0.3804617190556932,0.34146341463414637
379401,0.5909090909090909,0.4878048780487805,0.5208792245637083,0.4878048780487805
379402,0.37998749218261413,0.2926829268292683,0.2997594912428253,0.2926829268292683
380201,0.5875751148815836,0.3170731707317073,0.3751087673038893,0.3170731707317073
381201,0.2774390243902439,0.1951219512195122,0.22724568709101722,0.1951219512195122
